utc_timestamp,ES_COP_ASHP_radiator,ES_COP_ASHP_water
2007-12,3.19,2.3
2008-01,3.7899731182795695,2.5971908602150537
2008-02,3.8641666666666667,2.6495114942528737
2008-03,3.872862903225806,2.6929301075268817
2008-04,3.973527777777778,2.8171388888888886
2008-05,4.040672043010752,2.9202419354838707
2008-06,4.0558194444444435,3.160902777777778
2008-07,4.0572715053763435,3.3122446236559138
2008-08,4.059018817204301,3.335309139784946
2008-09,4.048041666666666,3.121763888888889
2008-10,3.992365591397849,2.9061424731182797
2008-11,3.7983888888888893,2.621013888888889
2008-12,3.687177419354839,2.5288575268817204
