utc_timestamp,GB_COP_ASHP_radiator,GB_COP_ASHP_water
2007-12,3.79,2.53
2008-01,3.708682795698925,2.5039381720430107
2008-02,3.6161781609195405,2.4541666666666666
2008-03,3.664422043010753,2.474529569892473
2008-04,3.778680555555556,2.547902777777778
2008-05,4.016465053763441,2.7917204301075267
2008-06,4.0461527777777775,2.8473333333333333
2008-07,4.058655913978495,2.947043010752688
2008-08,4.058897849462365,2.937795698924731
2008-09,4.041138888888889,2.8054583333333336
2008-10,3.8821774193548384,2.6426344086021505
2008-11,3.7572916666666667,2.5284166666666668
2008-12,3.4893279569892472,2.3938844086021507
