name,S0.Fossil fuels,S1.No TES,S2.No TES,S3.TES=2h,S4.TES=4h,S5.TES=6h,S6.TES=12h,S7.TES=24h,S8.TES=36h,S9.TES=48h,S10.TES=60h
GHG emissions MtonnesCO2eq,1.45,0.3284361154793343,0.2919464992812054,0.29387063251406226,0.29389291816872093,0.29395876365038776,0.2941403149038307,0.3024322577229389,0.310408797661266,0.3155940597077669,0.3229525870831282
GHG emissions MtonnesCO2eq,100.0%,22.651%,20.134%,20.267%,20.268%,20.273%,20.286%,20.857%,21.408%,21.765%,22.273%
Marginal GHG emissions MtonnesCO2eq,1.45,0.3742631447400502,0.3314904987347264,0.33984776964271046,0.3419426729065428,0.3434508779901426,0.34884953687031,0.35955417045610755,0.37318798483411525,0.38228420985086664,0.39197963908242217
Maximum power demand of additional heating load (MW),,508.2421574573959,437.75134326285337,392.52190004276724,411.9105674360693,431.3809474246747,509.8729709847488,529.4502821712425,529.3996042005912,548.9934385824002,549.0097969496799
Maximum power demand of total consumption,,41081.86450161155,41027.98480990576,41105.39190004277,41124.78056743607,41123.310947424674,41201.80297098475,40890.57028217125,41221.32960420059,40910.113438582404,41240.93979694968
99th percentile of the power demand of total consumption,,38513.718150779656,38483.78585197904,38500.29970973201,38491.50737230559,38502.721780743,38468.00496063316,38503.22227774715,38507.99959310781,38496.63994332941,38553.59866552187
Increase in maximum power demand (99th percentile MW),,262.6061507796476,232.6738519790306,249.187709732003,240.395372305582,251.60978074299055,216.89296063315123,252.11027774713875,256.88759310780006,245.5279433293981,302.4866655218648
Increase in maximum power demand (99th percentile %),nan%,0.69%,0.61%,0.65%,0.63%,0.66%,0.57%,0.66%,0.67%,0.64%,0.79%
Additional electricity load of heating GWh,,1481.4795068156507,1313.1464570279709,1325.8667920403664,1332.1792545463122,1338.5625546257222,1365.1555160677003,1417.6156274030675,1470.2575977082545,1509.4846088186364,1549.1499502146344
Electricity consumption (without heating) GWh,,250626.87347,250626.87347,250626.87347,250626.87347,250626.87347,250626.87347,250626.87347,250626.87347,250626.87347,250626.87347
